"","Treatment","Tile.number","Assigned.location.code","crevice.kind","LOB.crown","LOB.targetcrevice","LOB.othercrevice","LOB.opencrevice","LOB.outside","LOB.overall","otherMA.crown","otherMA.targetcrevice","otherMA.othercrevice","otherMA.opencrevice","otherMA.outside","otherMA.overall","unknown.crown","unknown.targetcrevice","unknown.othercrevice","unknown.opencrevice","unknown.outside","unknown.overall","Number.crowns","Area.crown.cm2","Number.targetcrevice","Area.targetcrevice.cm2.nosides","Area.targetcrevice.cm2.inclsides","Area.othercrevice.cm2.nosides","Area.othercrevice.cm2.inclsides","Number.opencrevices","Area.opencrevice.cm2.nosides","Area.opencrevice.cm2.inclsides","Area.outside.nosides.cm2","Area.outside.inclsides.cm2","Area.overall.cm2.nosides","Area.overall.cm2.inclsides","Proportion.LOB.target.overall","comment","identity.other.crevice","Observer","LOB.target.percm2.nosides","LOB.crown.percm2","LOB.other.percm2.nosides","LOB.open.percm2.nosides","LOB.outside.percm2.nosides","LOB.overall.percm2.nosides","LOB.target.percm2.inclsides","LOB.other.percm2.inclsides","LOB.open.percm2.inclsides","LOB.outside.percm2.inclsides","LOB.overall.percm2.inclsides","propLOB","propLOBcrown"
"1","Caged","6","Caged_green+3","small",62,2,4,12,38,118,65,5,8,10,26,114,6,2,1,3,6,18,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.208333333333333,1.79398148148148,0.37218442482619,0.833333333333333,0.482891411445848,0.797297297297297,0.0431034482758621,0.139143211759271,0.232558139534884,0.388180357583573,0.455246913580247,0.0946814728229106,0.0240266963292547
"2","Caged","7","Caged_green+3","medium",55,8,5,18,22,108,59,5,11,22,6,103,8,3,3,5,0,19,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.444444444444444,1.59143518518519,0.465230531032737,0.666666666666667,0.381331136865985,0.72972972972973,0.121212121212121,0.173929014699089,0.222222222222222,0.286113209274646,0.376044568245125,0.322334455667789,0.0761652892561984
"3","Caged","8","Caged_green+3","large",66,28,3,32,42,171,76,21,11,35,29,172,1,3,0,2,0,6,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,NA,"type1 - less  crowns","medium","Laura",1.80675934481744,1.83333333333333,0.333333333333333,1.29292929292929,0.669294550794994,1.15540540540541,0.888963392487497,0.0909090909090909,0.430976430976431,0.505095208041501,0.663047692904226,1.34072315159372,0.484889123174999
"4","Open","9","Open_red+2","large",1,1,0,3,4,9,35,9,11,37,13,105,0,0,0,0,0,0,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,NA,"type1 - less crowns","medium","Laura",0.0645271194577657,0.0277777777777778,0,0.121212121212121,0.0637423381709518,0.0608108108108108,0.0317486925888392,0,0.0404040404040404,0.048104305527762,0.0348972469949593,0.909776424295736,1.14295293319821
"5","Open","9.2","Open_red+3","medium",1,1,1,2,2,7,0,0,2,0,1,3,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.0555555555555556,0.0289351851851852,0.0930461062065475,0.0740740740740741,0.0346664669878168,0.0472972972972973,0.0151515151515152,0.0347858029398178,0.0246913580246914,0.0260102917522405,0.0243732590529248,0.621645021645022,0.523636363636364
"6","Open","10","Open_red+2","small",1,6,0,7,14,28,29,14,4,9,25,81,2,1,0,0,1,4,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.625,0.0289351851851852,0,0.486111111111111,0.177907362111628,0.189189189189189,0.129310344827586,0,0.135658914728682,0.143013815951843,0.108024691358025,1.19704433497537,4.46896551724138
"7","Caged","12","Caged_red+1","small",4,0,3,4,4,15,20,3,0,7,15,45,2,0,0,1,1,4,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0,0.115740740740741,0.279138318619642,0.277777777777778,0.0508306748890366,0.101351351351351,0,0.104357408819453,0.0775193798449612,0.0408610902719551,0.0578703703703704,0,0
"8","Caged","13","Caged_red+1","medium",4,2,2,6,3,17,21,12,10,10,7,60,1,0,2,0,1,4,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.111111111111111,0.115740740740741,0.186092212413095,0.222222222222222,0.0519997004817252,0.114864864864865,0.0303030303030303,0.0695716058796356,0.0740740740740741,0.0390154376283608,0.0591922005571031,0.511942959001783,0.261818181818182
"9","Caged","14","Caged_red+1","large",21,5,4,6,10,46,80,11,6,20,7,124,2,2,1,0,5,10,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,NA,"type2, more crowns","medium","Laura",0.322635597288829,0.520833333333333,0.444444444444444,0.333333333333333,0.153415081070665,0.310810810810811,0.158743462944196,0.121212121212121,0.111111111111111,0.112129445820397,0.185483870967742,0.855834321960013,0.304787448852856
"10","Caged","18","Caged_yellow+1","small",1,2,2,3,9,17,33,6,6,10,18,73,0,0,1,0,0,1,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.208333333333333,0.0289351851851852,0.186092212413095,0.208333333333333,0.114369018500332,0.114864864864865,0.0431034482758621,0.0695716058796356,0.0581395348837209,0.0919374531118989,0.0655864197530864,0.657200811359026,1.48965517241379
